id,parentProductId,title,categories,description,quantity,price,active
2141-variation-3,2141,Tephrocactus aoracanthus,,<p>Tephrocactus aoracanthus (This item ships in 2 weeks).</p>,"5,000 seeds",95.00,outofstock
2142,,Seeds Cacti Tephrocactus articulatus,"SEEDS Cacti T,Cacti Seed List (A to Z),CACTI SEED INDEX",<p>Tephrocactus articulatus (Syn: Tephrocactus strobiliformis)</p>,,,outofstock
2142-variation-0,2142,Seeds Cacti Tephrocactus articulatus,,<p>Tephrocactus articulatus (Syn: Tephrocactus strobiliformis)</p>,25 seeds,1.65,outofstock
2142-variation-1,2142,Seeds Cacti Tephrocactus articulatus,,<p>Tephrocactus articulatus (Syn: Tephrocactus strobiliformis)</p>,100 seeds,3.85,outofstock
2143,,Tephrocactus articulatus v. diadematus,"SEEDS Cacti T,Cacti Seed List (A to Z),Tephrocactus,CACTI SEED INDEX",<p>Tephrocactus articulatus v. diadematus</p>,,,outofstock
2143-variation-0,2143,Tephrocactus articulatus v. diadematus,,<p>Tephrocactus articulatus v. diadematus</p>,25 seeds,1.75,outofstock
2144,,Tephrocactus articulatus v. polyacanthus,"SEEDS Cacti T,Cacti Seed List (A to Z),Tephrocactus,CACTI SEED INDEX",<p>Tephrocactus articulatus v. polyacanthus.&nbsp;</p>,,,outofstock
2144-variation-0,2144,Tephrocactus articulatus v. polyacanthus,,<p>Tephrocactus articulatus v. polyacanthus.&nbsp;</p>,25 seeds,1.75,outofstock
2145,,Tephrocactus atratospinus,"SEEDS Cacti T,Cacti Seed List (A to Z),Tephrocactus,CACTI SEED INDEX",<p>Tephrocactus atratospinus.&nbsp;</p>,,,instock
2145-variation-0,2145,Tephrocactus atratospinus,,<p>Tephrocactus atratospinus.&nbsp;</p>,25 seeds,1.50,instock
2145-variation-1,2145,Tephrocactus atratospinus,,<p>Tephrocactus atratospinus.&nbsp;</p>,100 seeds,5,instock
2145-variation-2,2145,Tephrocactus atratospinus,,<p>Tephrocactus atratospinus.&nbsp;</p>,500 seeds,15.00,instock
2145-variation-3,2145,Tephrocactus atratospinus,,<p>Tephrocactus atratospinus.&nbsp;</p>,1000 seeds,25.00,instock
2146,,Seeds Cacti Tephrocactus bruchii,"SEEDS Cacti T,Cacti Seed List (A to Z),CACTI SEED INDEX",<p>Tephrocactus bruchii</p>,,,outofstock
2146-variation-0,2146,Seeds Cacti Tephrocactus bruchii,,<p>Tephrocactus bruchii</p>,500 seeds,15.00,outofstock
2146-variation-1,2146,Seeds Cacti Tephrocactus bruchii,,<p>Tephrocactus bruchii</p>,"1,000 seeds",25.00,outofstock
2146-variation-2,2146,Seeds Cacti Tephrocactus bruchii,,<p>Tephrocactus bruchii</p>,"5,000 seeds",90.00,outofstock
2147,,Tephrocactus corrugatus,"SEEDS Cacti T,Cacti Seed List (A to Z),Tephrocactus,CACTI SEED INDEX",<p>Tephrocactus corrugatus</p>,,,outofstock
2147-variation-0,2147,Tephrocactus corrugatus,,<p>Tephrocactus corrugatus</p>,25 seeds,1.50,outofstock
2147-variation-1,2147,Tephrocactus corrugatus,,<p>Tephrocactus corrugatus</p>,500 seeds,16.00,outofstock
2147-variation-2,2147,Tephrocactus corrugatus,,<p>Tephrocactus corrugatus</p>,"1,000 seeds",28.00,outofstock
2147-variation-3,2147,Tephrocactus corrugatus,,<p>Tephrocactus corrugatus</p>,"5,000 seeds",85.00,outofstock
2148,,Tephrocactus glomeratus v. longispinus,"SEEDS Cacti T,Cacti Seed List (A to Z),Tephrocactus,CACTI SEED INDEX",<p>Tephrocactus glomeratus v. longispinus (Large grey paper spine). This item ships in 2 weeks.</p>,,,outofstock
2148-variation-0,2148,Tephrocactus glomeratus v. longispinus,,<p>Tephrocactus glomeratus v. longispinus (Large grey paper spine). This item ships in 2 weeks.</p>,100 seeds,4,outofstock
2148-variation-1,2148,Tephrocactus glomeratus v. longispinus,,<p>Tephrocactus glomeratus v. longispinus (Large grey paper spine). This item ships in 2 weeks.</p>,500 seeds,13.50,outofstock
2148-variation-2,2148,Tephrocactus glomeratus v. longispinus,,<p>Tephrocactus glomeratus v. longispinus (Large grey paper spine). This item ships in 2 weeks.</p>,1000 seeds,24.00,outofstock
2148-variation-3,2148,Tephrocactus glomeratus v. longispinus,,<p>Tephrocactus glomeratus v. longispinus (Large grey paper spine). This item ships in 2 weeks.</p>,5000 seeds,85.00,outofstock
2149,,Tephrocactus molinensis,"SEEDS Cacti T,Cacti Seed List (A to Z),Tephrocactus,CACTI SEED INDEX",<p>Tephrocactus molinensis</p>,,,outofstock
2149-variation-0,2149,Tephrocactus molinensis,,<p>Tephrocactus molinensis</p>,25 seeds,2,outofstock
2150,,Tephrocactus papyracanthus,"SEEDS Cacti T,Cacti Seed List (A to Z),Tephrocactus,CACTI SEED INDEX",<p>Tephrocactus papyracanthus</p>,,,outofstock
2150-variation-0,2150,Tephrocactus papyracanthus,,<p>Tephrocactus papyracanthus</p>,500 seeds,20.00,outofstock
2150-variation-1,2150,Tephrocactus papyracanthus,,<p>Tephrocactus papyracanthus</p>,"1,000 seeds",30.00,outofstock
2150-variation-2,2150,Tephrocactus papyracanthus,,<p>Tephrocactus papyracanthus</p>,"5,000 seeds",95.00,outofstock
2151,,Seeds Cacti Tephrocactus papyracanthus v. syringacanthus,"SEEDS Cacti T,Cacti Seed List (A to Z),CACTI SEED INDEX",<p>Tephrocactus papyracanthus v. syringacanthus</p>,,,outofstock
2151-variation-0,2151,Seeds Cacti Tephrocactus papyracanthus v. syringacanthus,,<p>Tephrocactus papyracanthus v. syringacanthus</p>,500 seeds,15.00,outofstock
2151-variation-1,2151,Seeds Cacti Tephrocactus papyracanthus v. syringacanthus,,<p>Tephrocactus papyracanthus v. syringacanthus</p>,"1,000 seeds",25.00,outofstock
2151-variation-2,2151,Seeds Cacti Tephrocactus papyracanthus v. syringacanthus,,<p>Tephrocactus papyracanthus v. syringacanthus</p>,"5,000 seeds",90.00,outofstock
2151-variation-3,2151,Seeds Cacti Tephrocactus papyracanthus v. syringacanthus,,<p>Tephrocactus papyracanthus v. syringacanthus</p>,"10,000 seeds",150.00,outofstock
2152,,Tephrocactus weberi,"SEEDS Cacti T,Cacti Seed List (A to Z),Tephrocactus,CACTI SEED INDEX",<p>Tephrocactus weberi</p>,,,outofstock
2152-variation-0,2152,Tephrocactus weberi,,<p>Tephrocactus weberi</p>,25 seeds,1.50,outofstock
2152-variation-1,2152,Tephrocactus weberi,,<p>Tephrocactus weberi</p>,100 seeds,4.00,outofstock
2152-variation-2,2152,Tephrocactus weberi,,<p>Tephrocactus weberi</p>,500 seeds,15.00,outofstock
2152-variation-3,2152,Tephrocactus weberi,,<p>Tephrocactus weberi</p>,"1,000 seeds",25.00,outofstock
2152-variation-4,2152,Tephrocactus weberi,,<p>Tephrocactus weberi</p>,"5,000 seeds",80.00,outofstock
2914,,Seeds Penstemon venustus,"Wildflower Seeds N to P,WILDFLOWER SEED INDEX",<p>Penstemon venustus</p>,,,instock
2914-variation-0,2914,Seeds Penstemon venustus,,<p>Penstemon venustus</p>,1/10 oz. (1500 seeds),5,instock
2153,,Coryphantha implexicoma,"SEEDS  Cacti C,Cacti Seed List (A to Z),Coryphantha,CACTI SEED INDEX",<p>Corryocactus implexicoma</p>,,,outofstock
2153-variation-0,2153,Coryphantha implexicoma,,<p>Corryocactus implexicoma</p>,25 seeds,2,outofstock
2155,,Seeds Echeveria agavoides v. corderoyi,"SEEDS Succulents E,Succulent Seeds A-Z,SUCCULENT SEED INDEX",<p>Echeveria agavoides v. corderoyi</p>,,,outofstock
2155-variation-0,2155,Seeds Echeveria agavoides v. corderoyi,,<p>Echeveria agavoides v. corderoyi</p>,100 seeds,8.25,outofstock
2158,,Stenocereus marginatus,"SEEDS  Cacti S,Cacti Seed List (A to Z),Stenocereus,CACTI SEED INDEX","<p>Stenocereus marginatus (Mexican fencepost). Syn: Pachycereus marginatus, Marginatocereus marginatus.</p>",,,outofstock
2158-variation-0,2158,Stenocereus marginatus,,"<p>Stenocereus marginatus (Mexican fencepost). Syn: Pachycereus marginatus, Marginatocereus marginatus.</p>",25 seeds,2,outofstock
2157,,Trichocereus spachianus,"Cacti Seed List (A to Z),SEEDS Cacti T,Trichocereus,CACTI SEED INDEX",<p>Trichocereus spachianus</p>,,,instock
2157-variation-0,2157,Trichocereus spachianus,,<p>Trichocereus spachianus</p>,25 seeds,1.50,instock
2157-variation-1,2157,Trichocereus spachianus,,<p>Trichocereus spachianus</p>,100 seeds,3.50,instock
2157-variation-2,2157,Trichocereus spachianus,,<p>Trichocereus spachianus</p>,500 seeds,13.50,instock
2157-variation-3,2157,Trichocereus spachianus,,<p>Trichocereus spachianus</p>,1000 seeds,22.00,instock
2157-variation-4,2157,Trichocereus spachianus,,<p>Trichocereus spachianus</p>,5000 seeds,80.00,instock
2160,,Seeds Agave utahensis v. nevadensis,"SEEDS Succulents A,Succulent Seeds A-Z,Agave Seeds,SUCCULENT SEED INDEX",<p>Agave utahensis v. nevadensis</p>,,,outofstock
2160-variation-0,2160,Seeds Agave utahensis v. nevadensis,,<p>Agave utahensis v. nevadensis</p>,25 seeds,1.50,outofstock
2161,,Seeds Agave lechuguilla,"Agave Seeds,Succulent Seeds A-Z,SEEDS Succulents A,SUCCULENT SEED INDEX",<p>Agave lechuguilla</p>,,,outofstock
2161-variation-0,2161,Seeds Agave lechuguilla,,<p>Agave lechuguilla</p>,25 seeds,1.75,outofstock
2162,,Seeds Agave macrocantha,"Agave Seeds,Succulent Seeds A-Z,SEEDS Succulents A,SUCCULENT SEED INDEX",<p>Agave macrocantha.</p>,,,outofstock
2162-variation-0,2162,Seeds Agave macrocantha,,<p>Agave macrocantha.</p>,100 seeds,8,outofstock
2162-variation-1,2162,Seeds Agave macrocantha,,<p>Agave macrocantha.</p>,500 seeds,25.00,outofstock
2162-variation-2,2162,Seeds Agave macrocantha,,<p>Agave macrocantha.</p>,1000 seeds,45,outofstock
2162-variation-3,2162,Seeds Agave macrocantha,,<p>Agave macrocantha.</p>,5000 seeds,165.00,outofstock
2163,,Seeds Agave marmorata,"SEEDS Succulents A,Succulent Seeds A-Z,Agave Seeds,SUCCULENT SEED INDEX",<p>Agave marmorata.</p>,,,outofstock
2163-variation-0,2163,Seeds Agave marmorata,,<p>Agave marmorata.</p>,25 seeds,2.00,outofstock
2164,,Seeds Agave parrasana,"SEEDS Succulents A,Succulent Seeds A-Z,Agave Seeds,SUCCULENT SEED INDEX",<p>Agave parrasana.&nbsp;</p>,,,outofstock
2164-variation-0,2164,Seeds Agave parrasana,,<p>Agave parrasana.&nbsp;</p>,25 seeds,2.00,outofstock
2165,,Seeds Agave pedunculifera,"SEEDS Succulents A,Succulent Seeds A-Z,Agave Seeds,SUCCULENT SEED INDEX",<p>Agave pedunculifera</p>,,,instock
2165-variation-0,2165,Seeds Agave pedunculifera,,<p>Agave pedunculifera</p>,25 seeds,2.50,instock
2165-variation-1,2165,Seeds Agave pedunculifera,,<p>Agave pedunculifera</p>,100 seeds,7.50,instock
2166,,Dolichothele camptotricha,"SEEDS Cacti D,Cacti Seed List (A to Z),Dolichothele,CACTI SEED INDEX",<p>Dolichothele camptotricha</p>,,,instock
2166-variation-0,2166,Dolichothele camptotricha,,<p>Dolichothele camptotricha</p>,25 seeds,1.50,instock
