id,parentProductId,title,categories,description,quantity,price,active,status
4353-variation-0,4353,Cylindropuntia echinocarpa,,"<p>Cylindropuntia echinocarpa (Opuntia echinocarpa, Wiggins' Cholla, Silver Cholla)</p>",25 seeds,1.50,outofstock,private
4354,4354,Seeds Pedilanthus macrocarpa,"Pedilanthus Seeds,SEEDS Succulents P,Cacti Seed List (A to Z),SUCCULENT SEED INDEX,CACTI SEED INDEX","<p>Pedilanthus macrocarpa (Lady Slipper)</p>
<p><em><strong>&nbsp;</strong></em></p>",,,outofstock,private
4354-variation-0,4354,Seeds Pedilanthus macrocarpa,,"<p>Pedilanthus macrocarpa (Lady Slipper)</p>
<p><em><strong>&nbsp;</strong></em></p>",10 seeds,3.50,outofstock,private
4355,4355,Opuntia elata,"Opuntia,SEEDS  Cacti O,Cacti Seed List (A to Z),CACTI SEED INDEX",<p>Opuntia elata</p>,,,outofstock,private
4355-variation-0,4355,Opuntia elata,,<p>Opuntia elata</p>,25 seeds,1.50,outofstock,private
4356,4356,Pilosocereus tillianus,"Pilosocereus,SEEDS  Cacti P,Cacti Seed List (A to Z),CACTI SEED INDEX",<p>Pilosocereus tillianus</p>,,,outofstock,private
4356-variation-0,4356,Pilosocereus tillianus,,<p>Pilosocereus tillianus</p>,25 seeds,1.50,outofstock,private
4357,4357,Notocactus rutilans,"Notocactus,Cacti Seed List (A to Z),SEEDS  Cacti N,CACTI SEED INDEX","<p>Notocactus rutilans (<span>Synonyms</span>: Notocactus veenianus, Notocactus roseiflorus, Parodia mueller-melchersii)</p>",,,instock,publish
4357-variation-0,4357,Notocactus rutilans,,"<p>Notocactus rutilans (<span>Synonyms</span>: Notocactus veenianus, Notocactus roseiflorus, Parodia mueller-melchersii)</p>",25 seeds,1.75,instock,publish
4357-variation-1,4357,Notocactus rutilans,,"<p>Notocactus rutilans (<span>Synonyms</span>: Notocactus veenianus, Notocactus roseiflorus, Parodia mueller-melchersii)</p>",100 seeds,5,instock,publish
4357-variation-2,4357,Notocactus rutilans,,"<p>Notocactus rutilans (<span>Synonyms</span>: Notocactus veenianus, Notocactus roseiflorus, Parodia mueller-melchersii)</p>",500 seeds,17.5,instock,publish
4357-variation-3,4357,Notocactus rutilans,,"<p>Notocactus rutilans (<span>Synonyms</span>: Notocactus veenianus, Notocactus roseiflorus, Parodia mueller-melchersii)</p>",1000 seeds,30.00,instock,publish
4358,4358,Seeds Aloe pictifolia,"Aloe Seeds,SEEDS Succulents A,Succulent Seeds A-Z,SUCCULENT SEED INDEX",<p>Aloe pictifolia</p>,,,outofstock,private
4358-variation-0,4358,Seeds Aloe pictifolia,,<p>Aloe pictifolia</p>,25 seeds,2,outofstock,private
