ID,ItemID,OptionNum,Name,Type,Attributes,Active
90,134,1,Select size,Drop Down,1/10 oz. (approx. 1500 seeds):3.00~1 oz.:12.00~4 oz.:40.00~8 oz.:65.00~1 lb.:100.00,Yes
4000,4056,1,Select quantity,Drop Down,25 seeds:1.75,Yes
91,135,1,Available sizes,Drop Down,25 seeds:1.75~100 seeds:5.00,Yes
92,136,1,Available sizes,Drop Down,100 seeds:1.50~1/10 oz.:3.35~1 oz.:8.75~4 oz.:35.00,Yes
93,137,1,Available sizes,Drop Down,25 seeds:1.50~100 seeds:3.50~500 seeds:13.50~1000 seeds:20.00~5000 seeds:75.00,Yes
95,139,1,Available sizes,Drop Down,6 seeds:4.50~1 oz. :12.00~4 oz.:20.00~8 oz.:30.00~1 lb.:45.00,Yes
96,140,1,Available sizes,Drop Down,50 seeds:4.15,Yes
2328,2369,1,Sizes available,Drop Down,"25 seeds:1.50~100 seeds:3.50~500 seeds:15.00~1,000 seeds:27.50~5,000 seeds:85.00",Yes
97,141,1,Available sizes,Drop Down,50 seeds:4.75~1 oz .:12.00~4 oz.:25.00~8 oz.:35.00~1 lb.:50.00,Yes
98,142,1,Select size,Drop Down,25 seeds:1.50~100 seeds:2.50~1/10 oz. (300 seeds):4.50~1 oz. (3000 seeds):10.00,Yes
99,143,1,Available sizes,Drop Down,"100 seeds:1.50~1/10 oz. (Approx 3,000 seeds):3.50~1 oz. (Approx 30,000 seeds):12.00~4 oz.:45.00~8 oz.:70.00~1 lb.:130.00",Yes
100,144,1,Available sizes,Drop Down,25 seeds:1.50~100 seeds:5,Yes
101,145,1,Available sizes,Drop Down,25 seeds:1.50~100 seeds:3.00,Yes
102,146,1,Select size,Drop Down,25 seeds:1.50,Yes
103,147,1,Available sizes,Drop Down,25 seeds:1.50~100 seeds:3.5,Yes
104,148,1,Available sizes,Drop Down,150 seeds:2.85~1000 seeds:12.00~5000 seeds:30.00,Yes
105,149,1,Available sizes,Radio Button,Small packet (100 seeds)~1000 seeds:20,Yes
106,150,1,Available sizes,Drop Down,"1 oz. (62,000 seeds):40.00~4 oz.:150.00",Yes
107,151,1,Available sizes,Drop Down,25 seeds:1.50,Yes
108,152,1,Available sizes,Drop Down,25 seeds:1.50~100 seeds:3.50~500 seeds:13.50~1000 seeds:20.00,Yes
109,153,1,Available sizes,Drop Down,25 seeds:2.00~1 oz. (approx. 95 seeds):6.00~4 oz.:20.00~8 oz.:35.00,Yes
110,154,1,Available sizes,Drop Down,10 seeds:1.50~1 oz. Approx. 60 seeds:7.00~4 oz.:20.00~8 oz.:35.00~1 lb.:60.00,Yes
111,155,1,Available sizes,Drop Down,25 seeds:2.35~100 seeds:4.85,Yes
1398,1422,1,Sizes available,Drop Down,25 seeds:1.50~100 seeds:3.50~500 seeds:13.50,Yes
194,244,1,Sizes available,Drop Down,10 inch plant:40.00,Yes
113,157,1,Available sizes,Drop Down,25 seeds:1.50~100 seeds:3.50~1 oz:8.00~4 oz.:25.00~8 oz.:35.00~1 lb.:60.00,Yes
115,159,1,Available sizes,Drop Down,25 seeds:2,Yes
116,160,1,Available sizes,Drop Down,100 seeds:5.00,Yes
117,161,1,Available sizes,Drop Down,25 seeds:1.75~100 seeds:4,Yes
118,162,1,Available sizes,Drop Down,25 seeds:1.50~100 seeds:3.50,Yes
119,163,1,Available sizes,Drop Down,25 seeds:1.75,Yes
120,164,1,Available sizes,Drop Down,25 seeds:2,Yes
121,165,1,Sizes available,Drop Down,15 seeds:1.75~1 oz.:6.00~4 oz.:15.00~8 oz.:22.50~1 lb.:40.00,Yes
122,166,1,Sizes available,Drop Down,5 seeds:1.50~1 oz. (40 seeds):8.00~4 oz.:25.00~8 oz.:30.00~1 lb.:45.00,Yes
123,167,1,Sizes available,Drop Down,25 seeds:1.50~100 seeds:3.50~500 seeds:13.50~1000 seeds:20.00,Yes
4785,4860,1,Select size,Drop Down,25 seeds:2.50~100 seeds:7.50~500 seeds:30.00~1000 seeds:50.00,Yes
124,168,1,Sizes available,Drop Down,1 gram (chaff and approx. 150 seeds):2.50~1/10 oz.  (chaff and approx. 450 seeds):6,Yes
125,169,1,Sizes available,Drop Down,1/10 oz. (approx. 150 seeds):3.00,Yes
126,170,1,Sizes available,Drop Down,25 seeds:1.50~100 seeds:3.50,Yes
127,171,1,Sizes available,Drop Down,25 seeds:2,Yes
128,172,1,Sizes available,Drop Down,10 seeds:2.00,Yes
4501,4566,1,Select size,Drop Down,25 seeds:1.75,Yes
129,173,1,Sizes available,Drop Down,25 seeds:1.75~100 seeds:5.00,Yes
130,174,1,Sizes available,Drop Down,25 seeds:1.50~100 seeds:5,Yes
131,175,1,Sizes available,Drop Down,25 seeds:1.75,Yes
132,176,1,Sizes available,Drop Down,"25 seeds:1.50~100 seeds:3.50~500 seeds:10.00~1,000 seeds:16.00~5,000 seeds:60.00",Yes
133,177,1,Sizes available,Drop Down,,Yes
2868,2914,1,Select quantity,Drop Down,1/10 oz. (1500 seeds):5,Yes
134,178,1,Sizes available,Drop Down,25 seeds:1.50,Yes
135,180,1,Sizes available,Drop Down,25 seeds:1.50~100 seeds:3.50~500 seeds:10.00~1000 seeds:17.50~5000 seeds:50.00,Yes
136,183,1,Sizes available,Drop Down,"25 seeds:1.25~100 seeds:3.50~500 seeds:13.5~1,000 seeds:20",Yes
698,715,1,Sizes available,Drop Down,25 seeds:1.5~100 seeds:4,Yes
138,186,1,Sizes available,Drop Down,25 seeds:1.50~100 seeds:3.50~500 seeds:13.50,Yes
139,43,1,Sizes available,Drop Down,8-10 inch unrooted cutting:25,Yes
140,187,1,Sizes available,Drop Down,3 unrooted cuttings (4-8 inch):25,Yes
141,188,1,Sizes available,Drop Down,(1) cutting 10-12 inch:15.00~(5) cuttings 8-12 inch:50.00~(10) cuttings 8-12 inch:85.00,Yes
142,189,1,Sizes available,Drop Down,(1) cutting 8-12 inch:15.00~(5) cuttings 8-12 inch:50.00~(10) cuttings 8-12 inch:85.00,Yes
143,190,1,Sizes available,Drop Down,(3) 3-5 inch cuttings:15.00~(10) 3-5 inch cuttings:25.00~(25) 3-5 inch cuttings:45.00~(50) 3-5 inch cuttings:80.00,Yes
144,191,1,Sizes available,Drop Down,(1) 4-5 inch cutting:5.00~(3) 4-5 inch cutting:12.00~(5) 4-5 inch cutting:15.00~(10) 4-5 inch cutting:25.00,Yes
145,192,1,Sizes available,Drop Down,(1) 4-6 inch cutting:8.00~(3) 3-6 inch cuttings:15.00~(5) 3-6 inch cuttings:20.00~(10) 3-6 inch cuttings:35.00,Yes
146,194,1,Sizes available,Drop Down,3 unrooted cuttings (5-8 inch):17.5~5 unrooted cuttings (5-8 inch):25.00,Yes
147,195,1,Sizes available,Drop Down,5- 6 inch cutting:12.00~(3) 5- 6 inch cuttings:25.00,Yes
148,196,1,Sizes available,Drop Down,(1) 8 inch unrooted cutting:12.00~(3) 5-8 inch unrooted cuttings:25.00~(10) 5-8 inch unrooted cuttings:55.00,Yes
149,198,1,Sizes available,Drop Down,6-8 inch unrooted cutting:15.00~10-12 inch unrooted cuttings:20.00,Yes
150,200,1,Sizes available,Drop Down,(10) 2 to 4 inch cuttings:40.00,Yes
151,201,1,Sizes available,Drop Down,5 cuttings (1-3 +):5.00~20 cuttings (1-3 +):15.00~100 cuttings (1-3+):50.00,Yes
152,202,1,Sizes available,Drop Down,3 cutting:8.00~10 cuttings:20.00,Yes
153,203,1,Sizes available,Drop Down,(1) 5-6 inch cutting:12.00~(3) 4-6 inch cuttings:20.00~(10) 4-6 inch cuttings:55.00,Yes
154,204,1,Sizes available,Drop Down,(1) 4-6 inch cutting:8.00~(3) 4-6 inch cuttings:20.00~(5) 4-6 inch cuttings:25.00,Yes
155,205,1,Sizes available,Drop Down,10 inch plant:25.00,Yes
156,206,1,Sizes available,Drop Down,6 inch plant:20.00,Yes
157,207,1,Sizes available,Drop Down,10-12 inch plant:24.00,Yes
158,208,1,Sizes available,Drop Down,6 inch plant:15.00,Yes
159,209,1,Sizes available,Drop Down,(3) 5 to 8 inch cuttings:12.00~(6) 5  to 8 inch cuttings:17.50,Yes
160,210,1,Sizes available,Drop Down,(3) 2-6 inch cuttings:12.00~(10) 2 -6 inch cuttings:25.00~(25) 2-6 inch cuttings:45.00,Yes
161,211,1,Sizes available,Drop Down,(1) 8-10 inch cutting:12.00(3) 8-10 inch cuttings:20.00,Yes
162,212,1,Sizes available,Drop Down,(1) 4-6 inch cutting:6.00~(3) 4-6 inch cuttings:12.00~(10) 4-6 inch cuttings:25.00~(25) 4-6 inch cuttings:50.00,Yes
163,213,1,Sizes available,Drop Down,3” plant:15.00,Yes
164,214,1,Sizes available,Drop Down,4-5 inch plant:30.00,Yes
165,215,1,Sizes available,Drop Down,24”-28” plant:40.00~30” -32” plant:60.00~24-26” unrooted cutting:20.00,Yes
166,216,1,Sizes available,Drop Down,24”-28” plant:50.00,Yes
167,217,1,Sizes available,Drop Down,10-12 inch unrooted cutting:15.00,Yes
168,218,1,Sizes available,Drop Down,10 inch plant :75.00,Yes
4241,4305,1,Select Size,Drop Down,8 inch plant:60.00~10 inch plant:80.00,Yes
169,219,1,Sizes available,Drop Down,14-16 inch plant:30.00,Yes
171,221,1,Sizes available,Drop Down,4-5 inch plant:35.00,Yes
